x448,mlkem768,hqc192
2.27,1.72,20.05
1.65,1.62,20.04
2.19,1.37,20.43
2.2,2.25,20.05
1.65,1.6,20.0
2.21,1.82,19.62
2.45,1.42,20.1
1.89,1.54,20.62
1.75,2.74,19.95
1.92,1.87,19.67
1.59,1.41,19.72
1.95,1.29,19.76
2.31,2.38,19.89
2.45,1.24,20.23
1.48,1.3,19.85
1.86,1.97,20.41
1.74,1.66,20.06
2.72,1.79,19.71
1.91,1.22,20.06
2.04,1.49,19.85
1.62,1.41,19.87
1.96,1.52,20.48
1.64,1.97,19.64
2.62,1.59,19.77
2.11,2.1,19.86
2.17,1.43,20.03
1.95,1.48,19.95
2.15,1.24,20.01
2.79,2.57,20.03
1.6,1.82,19.76
2.43,1.37,19.86
1.67,2.57,20.48
2.19,1.75,19.74
1.96,1.35,20.11
2.39,1.15,19.87
1.84,1.29,19.89
1.91,2.1,19.82
2.02,1.84,19.8
2.63,1.61,20.1
1.73,1.26,19.96
2.02,1.55,19.61
2.15,1.53,19.77
1.85,1.51,20.09
2.25,1.57,19.77
1.73,1.66,20.95
2.41,1.46,19.83
1.69,1.19,19.83
2.12,1.92,19.79
1.66,1.52,19.78
2.69,1.86,20.09
1.86,2.33,19.79
2.23,1.54,20.15
2.36,1.93,19.84
2.06,1.54,20.57
1.73,1.33,19.9
1.78,2.07,20.09
1.65,1.5,20.01
1.92,1.52,20.11
2.34,1.92,19.91
1.94,1.98,19.82
2.28,1.39,20.13
1.8,1.85,19.99
1.89,2.06,20.54
1.88,1.47,20.02
1.58,1.58,19.55
1.94,1.33,20.09
1.68,2.34,19.68
2.0,1.65,19.77
2.38,1.44,20.78
1.52,1.51,20.18
1.74,1.76,19.87
2.13,2.11,21.91
1.48,1.65,19.65
1.53,1.6,19.89
1.8,1.25,20.45
2.11,1.28,19.72
1.58,1.33,20.41
2.54,2.44,19.89
1.66,1.46,19.64
1.8,1.69,19.83
1.85,1.45,19.54
1.79,1.92,20.48
2.33,1.23,20.19
1.78,1.42,19.86
3.02,1.31,19.72
1.82,1.45,19.66
1.86,1.71,19.63
1.69,2.1,19.86
1.83,2.37,19.6
2.17,1.89,20.09
1.98,1.69,19.62
1.61,1.65,20.37
1.62,2.31,20.01
1.6,1.32,20.0
1.84,1.63,19.78
1.92,1.62,19.61
2.62,1.4,19.61
1.56,1.31,20.69
1.85,1.34,19.86
1.66,1.93,19.76
1.8,1.71,20.14
1.72,1.59,20.31
1.91,1.44,20.13
2.06,1.76,19.81
1.52,1.83,19.86
1.6,1.49,19.87
1.83,1.74,20.37
1.64,1.31,19.67
1.56,1.42,19.74
1.68,1.97,19.85
1.84,2.21,19.54
2.03,1.29,20.25
1.61,1.48,19.79
2.03,1.74,20.01
2.15,1.53,19.76
2.3,1.73,19.7
1.66,2.46,19.82
1.88,1.15,19.76
1.68,1.56,20.91
1.47,1.54,20.31
2.32,1.38,21.61
1.94,1.85,20.62
1.8,1.44,19.83
2.73,1.66,20.53
3.43,1.32,19.68
2.28,2.41,19.76
1.89,1.84,19.8
1.82,1.33,20.91
2.21,2.46,19.84
2.04,1.51,19.71
2.02,1.27,19.62
2.16,1.63,20.33
1.93,1.28,19.99
1.59,1.8,20.04
2.58,1.16,19.88
1.47,1.75,20.04
2.01,1.44,20.08
2.53,1.42,19.64
1.66,1.16,20.21
3.02,2.26,20.25
2.03,1.14,20.41
2.34,1.5,19.77
1.63,1.41,19.61
1.74,1.31,20.12
1.92,1.62,19.9
1.96,1.59,19.72
2.38,1.44,19.81
1.52,1.52,19.79
1.78,1.75,20.05
1.7,1.78,19.98
1.47,1.4,20.26
2.44,1.37,19.72
1.84,1.29,20.01
1.49,1.21,20.28
1.6,1.32,19.67
1.79,1.33,20.24
2.0,1.6,19.7
2.21,1.3,20.27
1.91,1.27,20.05
1.71,1.54,19.96
2.26,1.82,19.68
2.06,3.66,20.11
1.87,2.44,20.1
1.53,2.89,19.79
2.15,2.21,20.2
1.88,1.54,19.75
2.11,3.2,20.6
1.82,2.43,19.88
1.52,1.43,19.52
1.69,1.65,19.9
2.0,1.79,19.69
1.7,1.48,20.34
1.6,1.26,20.7
2.02,1.47,20.77
1.92,1.83,19.9
2.16,1.29,19.82
2.15,2.1,19.94
2.11,1.79,19.84
1.8,1.64,19.66
2.5,1.61,19.69
1.66,1.28,19.91
1.58,2.32,19.76
1.95,1.66,19.69
1.53,1.28,19.66
1.67,1.57,20.12
2.31,1.61,19.91
3.05,1.67,19.92
2.06,2.49,19.75
1.8,1.63,19.57
2.88,1.15,19.65
2.28,1.96,20.0
2.98,1.44,19.74
1.9,2.83,19.74
1.55,1.37,19.73
2.07,1.86,20.11
1.59,1.62,19.85
1.6,1.84,19.93
1.78,1.56,20.3
1.74,1.48,19.79
1.93,2.11,20.54
2.04,1.26,20.53
1.91,1.79,20.17
3.02,1.28,19.89
1.78,1.82,19.82
1.95,2.11,20.14
1.99,1.75,19.95
2.17,1.14,19.94
1.74,1.57,19.83
2.55,1.58,19.83
2.37,2.08,19.85
1.75,1.86,20.17
1.64,2.66,19.69
1.84,1.76,19.59
1.64,1.44,19.63
2.14,1.25,20.26
2.2,1.89,20.07
2.2,2.14,19.61
1.79,1.59,20.73
1.6,2.24,20.68
1.84,1.72,19.8
1.48,1.86,19.76
1.99,1.52,19.85
1.6,1.61,20.02
1.66,1.89,19.79
1.92,1.22,19.8
3.04,1.45,19.65
2.76,1.75,20.25
1.98,1.38,20.21
1.86,1.39,20.07
2.68,1.31,19.74
1.82,1.58,20.28
1.89,1.33,20.66
2.22,1.88,19.79
1.53,2.13,19.81
1.54,1.28,19.96
1.68,1.65,20.11
1.55,1.63,19.95
1.87,1.44,20.71
1.97,1.51,20.29
2.19,2.07,19.68
1.91,2.52,21.22
1.83,1.77,19.73
1.7,1.35,19.57
2.09,1.97,19.97
2.66,1.47,19.94
1.63,1.3,19.75
1.83,1.31,20.09
2.06,1.15,20.03
1.96,2.28,19.73
2.14,1.69,19.6
2.14,1.27,19.68
1.56,1.47,19.61
2.87,1.64,19.61
1.59,1.7,19.9
1.94,1.94,19.6
1.79,2.02,19.7
1.81,1.29,20.08
2.41,2.25,19.75
1.52,1.26,19.77
1.71,2.17,20.41
1.8,1.39,19.75
1.69,1.51,20.14
2.12,2.67,20.08
1.92,1.84,20.27
1.72,1.29,19.87
1.63,2.21,19.61
2.3,1.52,20.56
2.21,1.68,19.77
1.59,2.03,19.99
1.5,1.26,19.87
2.05,1.16,19.79
2.62,1.95,19.67
2.47,1.62,20.24
2.04,2.96,19.52
2.5,1.84,19.53
1.61,1.57,19.87
1.9,3.01,19.93
2.84,2.46,19.95
1.63,1.33,19.88
1.84,1.84,19.53
1.84,2.11,19.91
1.63,1.23,19.82
1.51,1.67,19.83
1.96,1.95,19.68
2.04,1.49,20.05
2.2,2.84,20.14
2.6,1.4,21.06
1.52,1.29,20.56
1.89,1.59,20.08
1.86,2.14,19.59
1.57,1.17,20.92
1.94,1.94,19.93
2.01,1.31,19.69
1.58,2.07,20.08
1.78,1.55,20.46
2.49,1.83,20.19
1.77,1.81,20.42
1.8,2.14,21.52
1.92,2.5,19.61
2.36,1.43,21.12
1.75,1.6,19.91
1.89,1.35,19.79
1.72,1.52,20.18
1.95,2.05,20.31
2.35,1.86,20.01
1.56,3.27,19.78
1.82,2.99,19.74
1.8,1.19,21.94
3.45,2.31,20.05
1.92,1.95,19.78
1.62,1.13,19.92
1.54,1.56,19.84
1.84,1.73,19.92
3.14,1.47,19.59
1.86,1.71,19.93
2.12,1.98,19.75
1.64,1.87,20.03
1.72,2.0,20.23
1.73,1.69,19.93
2.54,1.4,19.91
2.34,1.47,19.8
1.59,1.48,19.74
1.7,1.6,19.81
1.86,2.1,19.59
1.56,1.37,20.27
2.13,1.78,19.56
1.82,6.44,19.79
1.59,1.5,20.01
1.79,1.38,21.05
2.37,1.72,19.82
1.86,1.75,20.56
2.03,1.74,19.93
2.07,1.23,19.65
2.83,1.48,19.94
2.1,2.07,19.97
1.97,1.15,20.2
1.78,1.37,19.74
2.01,1.91,20.05
1.67,1.26,19.89
1.79,2.48,19.56
2.78,1.32,19.88
1.86,1.79,20.4
2.73,1.57,19.65
1.84,1.47,19.7
1.49,1.21,19.97
1.94,1.32,19.78
2.12,2.04,19.91
1.69,2.81,20.13
1.88,1.99,20.27
2.33,1.4,19.78
1.83,1.32,19.74
2.28,1.33,19.6
2.66,1.57,19.84
1.9,1.25,19.78
2.38,1.25,19.73
1.92,2.02,19.72
1.64,1.56,19.82
1.5,2.91,19.7
2.25,1.49,19.5
1.87,1.89,19.87
1.72,1.53,20.18
1.87,1.75,19.7
2.74,1.76,19.64
2.37,1.49,19.78
3.16,1.82,19.87
1.88,1.78,19.84
2.08,1.59,20.14
1.61,1.54,19.77
3.02,1.91,19.87
1.96,1.31,20.0
2.17,1.24,20.34
1.75,1.88,19.79
1.66,1.59,19.63
1.69,1.29,20.12
1.58,1.69,19.8
1.79,1.34,19.94
1.7,1.52,19.84
2.03,1.61,19.93
1.74,1.67,20.02
2.19,1.55,20.37
1.79,1.87,20.51
2.53,2.02,20.91
2.54,1.98,19.79
2.14,1.16,19.84
2.65,1.7,19.65
1.69,2.19,20.69
2.28,1.39,19.78
1.67,1.84,19.92
1.97,1.43,19.97
2.06,1.45,20.08
2.24,2.39,19.7
1.98,1.88,21.55
2.2,1.47,29.1
2.01,1.7,20.06
2.53,1.28,19.77
1.68,1.54,20.15
2.56,2.34,20.39
1.93,1.56,20.07
1.8,1.42,20.09
1.88,1.82,19.86
2.82,1.79,19.75
1.74,2.29,19.9
1.96,2.17,19.67
1.84,1.18,19.71
1.56,1.53,19.72
3.05,1.31,20.61
1.54,1.22,19.86
2.67,2.77,20.03
1.53,1.84,20.05
2.06,1.95,19.79
2.76,1.9,19.79
2.13,1.49,20.3
1.84,1.8,19.73
2.18,1.35,19.97
2.8,1.8,20.07
1.5,1.46,20.75
1.98,2.63,20.14
1.6,1.53,19.73
1.6,1.53,19.67
1.79,1.73,19.66
2.11,1.39,20.54
2.06,1.83,19.8
2.14,1.96,20.09
1.73,1.5,20.16
2.49,1.59,19.68
1.64,1.31,19.7
1.59,1.56,19.99
1.78,1.55,20.23
1.7,1.58,19.84
1.51,1.26,20.84
1.87,1.27,19.79
1.87,2.41,20.23
1.73,1.8,19.93
1.92,2.22,20.07
2.01,1.43,19.63
3.14,1.54,19.67
1.85,1.36,19.93
2.69,1.76,19.93
1.55,2.27,19.79
2.35,1.46,19.81
2.25,1.31,20.17
2.23,1.4,19.71
2.28,1.45,20.04
2.17,1.74,20.36
1.67,1.3,19.87
1.8,1.79,19.82
1.56,1.49,19.64
2.35,1.99,20.24
1.76,1.62,19.52
2.07,1.7,20.02
2.07,1.31,19.94
1.85,2.27,20.31
1.83,1.5,19.77
1.62,1.37,20.22
2.94,1.31,19.73
1.85,1.25,19.64
1.53,2.13,20.07
2.43,1.44,19.96
2.22,2.35,19.81
1.96,1.81,20.32
1.73,1.68,19.9
1.75,1.44,20.09
1.95,2.09,19.93
1.65,1.47,19.97
1.84,1.23,19.81
2.42,1.76,19.64
1.84,1.65,20.4
1.68,1.45,19.97
1.53,1.22,19.76
2.04,1.28,19.68
1.8,1.36,20.13
1.8,1.33,19.98
1.76,1.84,20.09
1.75,1.6,20.19
2.12,1.63,19.75
1.7,2.6,19.62
1.64,1.4,20.0
2.01,1.8,20.01
2.17,1.91,19.65
1.98,1.6,19.7
1.62,1.57,19.92
2.42,1.42,20.12
2.9,1.71,19.51
1.49,1.65,20.63
1.75,1.53,19.84
1.97,1.51,19.85
2.15,1.14,20.45
1.57,1.62,19.56
1.82,1.42,20.31
1.91,1.7,19.83
1.76,1.35,19.78
1.94,2.16,20.08
1.63,1.26,19.8
1.48,2.5,19.75
2.15,1.21,20.02
2.36,1.75,19.79
2.04,1.49,19.76
1.79,1.29,19.72
2.0,2.07,19.59
2.22,1.16,20.31
1.97,1.55,20.63
1.72,2.48,20.69
1.58,1.49,20.15
2.06,1.77,19.78
1.73,1.34,19.66
1.84,1.81,20.02
1.69,1.7,19.72
1.73,1.22,20.42
2.33,1.33,19.93
1.78,1.98,20.0
2.46,1.28,20.27
1.95,1.47,20.12
2.48,1.62,20.21
1.8,2.44,19.81
1.99,1.47,19.94
1.46,2.18,19.53
2.13,1.44,19.64
2.37,1.55,19.79
1.93,1.25,19.63
2.04,1.78,19.86
1.67,1.6,20.09
1.51,1.4,19.81
2.07,1.3,20.08
2.0,1.23,20.33
1.76,1.4,19.87
1.74,1.49,19.78
1.48,1.5,20.91
3.09,1.35,19.78
1.8,1.85,20.09
2.92,1.51,19.64
1.68,1.82,19.82
2.95,1.86,19.89
1.86,1.44,20.03
1.72,1.9,19.86
1.9,1.96,19.76
1.96,1.37,19.79
2.11,1.38,19.76
1.66,1.55,19.89
1.53,1.27,19.69
1.77,1.25,19.64
1.98,1.26,20.17
1.57,1.25,20.21
2.15,1.58,20.05
