x448,mlkem768,hqc192
4.06,2.26,50.66
3.95,2.6,50.66
3.1,2.35,50.89
3.05,2.51,51.77
2.94,2.3,55.31
4.09,2.15,50.91
3.08,2.24,51.27
3.31,2.1,51.94
3.02,2.3,55.0
2.85,2.13,51.1
2.9,2.24,3616.45
4.11,2.95,50.81
2.87,2.98,52.57
4.01,3.07,52.0
3.03,2.92,53.38
3.21,3.44,51.21
3.01,3.34,54.41
3.13,3.07,53.52
3.13,3.06,51.73
4.0,3.13,52.46
3.09,2.65,55.72
2.94,2.17,54.5
2.85,2.11,52.64
3.22,2.14,54.25
3.2,2.54,51.33
2.92,2.13,57.17
3.11,2.16,51.69
2.87,2.04,51.18
2.94,2.4,51.22
3.16,2.17,53.76
2.84,2.05,51.54
2.8,2.22,53.08
2.98,2.16,51.36
3.23,2.12,50.57
2.96,2.05,50.57
2.94,2.06,50.71
3.29,1.94,50.78
2.98,2.25,50.84
2.78,1.99,50.98
3.05,2.45,51.35
3.13,2.2,51.94
2.85,2.27,51.53
2.94,2.17,54.67
2.78,2.34,51.84
2.94,2.4,50.93
2.68,2.33,51.03
2.85,2.14,51.72
3.05,2.13,72.94
2.84,2.01,51.57
3.2,2.12,52.03
2.87,2.7,55.0
3.75,2.61,51.39
3.62,2.07,51.67
3.97,2.04,55.96
4.51,2.07,57.57
3.17,2.27,52.7
2.98,2.2,50.54
2.79,2.79,52.23
2.68,2.1,50.94
2.75,2.26,51.17
3.07,2.89,51.17
2.96,3.02,50.95
3.01,2.46,54.7
2.85,2.22,52.28
3.19,2.21,51.91
3.11,2.64,52.61
2.78,2.25,54.78
2.86,3.04,51.15
2.89,2.85,51.6
3.41,2.19,51.94
2.69,2.15,50.4
3.18,2.2,51.32
3.13,2.09,52.0
2.8,2.14,50.8
2.97,2.05,52.34
2.8,2.38,53.42
2.89,2.19,53.03
2.76,2.19,50.91
3.27,2.76,52.47
3.18,2.17,69.93
3.35,2.22,53.49
3.72,2.16,52.53
3.5,2.22,50.51
2.85,2.39,53.64
3.09,2.13,51.41
3.15,2.04,52.4
3.95,2.18,50.79
2.89,2.27,50.62
3.21,2.11,51.07
4.42,2.11,55.47
3.11,2.15,58.65
3.51,2.14,52.23
3.17,2.19,51.22
2.9,2.08,51.14
2.74,2.1,51.04
2.99,2.06,51.24
2.7,2.01,50.55
3.0,2.17,52.52
2.99,2.26,51.27
3.91,2.3,53.67
3.01,2.01,51.21
3.54,2.23,50.98
2.68,2.52,51.22
2.87,2.17,50.91
3.04,2.03,52.34
2.89,2.23,57.43
3.05,2.15,51.63
3.38,2.14,50.3
2.94,2.48,51.05
3.29,2.17,51.59
3.53,2.19,51.3
3.0,2.25,52.04
3.15,2.15,59.05
3.0,2.3,52.22
3.09,2.1,51.68
3.05,2.85,50.74
4.23,2.39,50.95
3.83,2.74,50.63
3.82,2.34,51.87
3.38,2.2,53.24
3.73,2.2,50.31
4.13,2.27,51.95
2.96,2.05,51.66
3.88,2.04,51.99
3.1,2.15,51.94
2.79,2.46,51.01
3.11,2.3,51.69
2.72,2.08,50.55
2.82,2.25,54.42
2.75,2.3,51.77
2.73,2.03,51.13
3.05,2.11,50.76
2.71,2.29,50.49
3.34,2.08,53.05
3.01,2.15,51.81
3.62,2.19,51.46
3.69,2.38,50.77
2.88,2.47,51.26
3.45,2.25,51.83
3.1,2.1,56.47
3.31,2.35,57.86
3.35,2.22,51.16
3.23,2.65,50.69
3.04,1.99,52.02
3.18,2.2,52.18
3.29,2.24,52.73
3.04,2.21,50.28
3.58,2.48,53.06
3.14,2.33,51.06
3.3,3.0,50.4
3.22,2.26,52.27
3.88,2.15,51.24
3.34,2.45,50.87
3.26,2.4,51.0
3.45,2.37,50.29
3.32,3.01,50.99
3.23,2.55,55.34
3.03,2.16,54.63
3.1,2.12,52.95
3.26,2.24,51.0
3.97,2.08,50.84
3.27,2.11,50.88
3.01,1.99,51.64
3.89,2.36,52.92
3.13,2.19,51.23
2.89,2.52,52.89
3.13,2.24,50.55
2.84,3.16,50.59
2.92,3.42,50.5
3.37,3.64,50.58
3.33,2.4,50.83
3.31,2.31,50.56
2.96,2.13,50.97
3.36,2.21,51.39
3.45,2.4,52.42
3.03,2.24,53.42
4.07,2.31,51.75
3.67,2.44,51.98
3.41,2.11,52.23
3.42,2.4,52.57
2.94,2.62,52.59
2.97,2.41,52.19
3.73,2.37,51.19
3.96,2.93,50.4
2.8,2.11,50.37
2.92,2.49,51.6
3.03,2.2,50.88
3.16,2.15,51.54
3.62,2.25,51.19
4.38,2.07,50.75
4.22,3.08,51.69
4.45,2.12,62.68
4.15,2.35,52.18
3.23,2.23,50.97
2.7,2.07,50.36
3.3,2.11,50.43
3.29,2.14,51.44
3.01,2.15,52.28
2.86,2.44,51.41
3.02,2.26,51.83
3.07,2.15,51.23
3.0,2.05,52.02
3.08,2.12,52.65
3.0,2.08,50.73
3.09,2.13,50.66
2.78,2.1,50.53
2.67,2.52,50.55
2.92,2.43,50.75
2.83,2.16,50.82
2.86,2.23,51.72
2.98,2.45,51.06
2.99,2.37,51.39
3.05,2.1,52.38
3.27,2.37,51.82
3.01,2.96,51.05
3.23,2.63,50.73
3.01,2.35,50.7
2.92,2.73,50.84
2.75,3.08,51.53
2.79,2.46,66.75
3.06,2.32,50.56
2.76,2.44,51.04
3.0,2.33,50.71
3.45,2.1,50.75
3.33,2.15,51.23
3.16,2.19,51.31
2.96,2.05,52.3
3.19,2.07,51.91
2.94,2.02,57.04
3.0,2.18,51.33
2.81,2.18,51.0
2.71,2.76,52.05
2.62,2.52,51.59
3.17,3.29,51.24
2.74,2.71,50.83
3.13,2.39,50.68
3.44,2.13,51.3
2.88,2.6,51.37
2.67,2.28,52.77
2.82,2.3,52.98
3.2,2.11,51.29
3.13,2.16,50.92
2.94,2.13,50.51
2.82,2.07,51.11
2.86,3.18,51.79
2.65,2.23,52.05
2.83,2.21,51.34
2.73,2.33,52.28
2.72,2.06,51.07
2.87,2.07,52.77
2.72,2.74,54.06
2.82,2.23,61.56
2.76,2.43,52.06
2.7,2.41,53.66
3.39,2.13,51.08
2.73,2.22,51.79
2.81,2.12,51.52
2.77,2.05,51.03
2.94,2.74,58.4
2.78,2.26,52.5
3.0,3.04,52.61
2.96,2.18,51.11
3.28,2.23,50.77
2.91,2.46,51.87
4.5,2.29,69.03
4.16,2.06,51.72
3.24,2.14,51.4
3.99,2.09,50.88
3.07,2.23,52.58
3.01,2.22,60.48
2.89,2.13,51.24
2.76,2.54,51.26
2.61,2.27,52.45
2.86,2.24,53.27
3.08,2.19,52.27
2.73,2.28,51.41
2.77,2.61,52.02
3.12,2.13,53.42
3.14,2.18,52.62
2.66,2.12,52.74
2.79,2.21,52.0
2.62,2.15,51.84
3.26,2.04,51.98
2.88,2.06,51.52
3.99,2.26,55.25
3.22,2.1,51.36
4.23,2.47,53.8
3.04,2.34,51.29
2.86,2.77,51.57
2.7,2.33,51.52
2.95,2.12,51.24
3.3,2.38,52.23
3.74,2.16,51.25
3.59,2.23,54.78
2.93,3.0,52.04
2.79,2.61,55.81
2.96,2.51,54.28
3.1,2.5,52.16
2.96,2.22,50.83
2.9,2.51,50.7
4.4,2.02,52.13
3.26,2.11,51.47
3.33,2.48,58.32
2.86,2.35,52.34
3.32,2.1,56.25
3.17,2.33,51.62
3.13,2.37,51.23
3.31,2.13,50.49
2.91,2.15,68.29
2.84,2.04,51.06
2.99,2.25,50.49
2.84,2.24,50.51
3.07,2.08,51.13
3.06,2.17,50.53
3.34,2.24,57.51
3.3,2.27,51.03
4.19,2.38,51.66
3.16,2.29,50.79
3.16,2.5,73.59
3.15,2.33,55.61
2.96,2.31,50.89
2.94,2.2,53.52
2.98,2.04,54.03
2.9,2.03,51.41
2.85,2.07,52.02
3.01,2.15,52.66
2.88,2.39,50.96
2.98,2.28,51.42
2.79,2.13,51.33
2.93,2.66,51.63
2.87,2.51,51.2
2.91,2.45,51.68
2.97,2.75,50.59
3.19,2.57,50.64
3.17,2.6,51.42
2.85,2.18,51.17
2.95,2.2,51.61
3.01,2.23,50.35
2.8,2.23,50.53
2.77,2.78,50.23
2.82,2.08,50.54
2.64,2.37,50.62
3.17,2.16,50.95
2.92,2.2,52.02
3.16,2.9,51.08
2.92,2.08,51.17
2.91,2.1,50.92
2.9,2.33,51.45
2.74,2.52,50.81
2.73,2.81,50.95
2.83,2.44,51.73
2.9,2.1,54.96
2.85,2.58,51.78
2.74,2.62,50.66
3.08,2.14,51.1
2.79,2.09,68.74
2.71,2.88,54.16
2.63,2.07,50.73
2.66,2.27,56.98
2.92,2.51,51.43
2.52,2.44,51.36
2.74,2.21,52.94
2.93,2.2,75.64
2.63,2.19,53.72
2.71,2.59,55.53
2.87,2.07,54.54
2.87,2.16,53.17
2.86,2.18,51.43
2.63,2.17,53.85
2.77,2.5,53.55
2.89,2.05,57.87
2.83,2.43,56.46
2.81,2.16,51.7
2.86,2.21,51.75
3.0,2.32,54.89
2.85,2.04,51.31
2.79,2.63,50.93
2.91,2.03,52.99
3.11,2.2,51.29
2.75,2.34,54.96
2.94,2.22,52.49
3.15,2.17,54.4
2.89,2.21,53.37
3.67,2.12,53.77
3.26,2.3,50.79
3.17,2.45,56.31
3.07,2.11,52.48
2.96,2.44,51.68
