P-521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
12.1,16.19,6.92,48.88,39.87
11.94,15.89,6.88,48.67,39.77
11.79,16.2,6.86,50.21,40.15
12.01,15.96,6.92,50.93,40.17
11.9,16.04,6.9,145.19,40.14
11.98,16.09,6.89,125.34,39.76
11.92,16.09,7.03,134.4,39.62
11.9,15.95,6.9,134.76,39.94
11.94,16.11,6.99,134.46,39.93
12.09,15.93,7.01,118.85,39.77
11.97,15.95,6.96,58.37,39.7
12.02,16.03,6.93,52.91,39.74
12.1,15.98,6.98,53.66,39.91
11.96,15.94,6.88,52.65,39.81
12.0,16.16,6.92,55.13,39.76
11.9,16.0,7.01,54.29,39.89
11.97,16.11,6.91,52.88,39.73
12.05,16.06,6.97,55.24,39.76
12.13,16.66,6.85,54.53,40.06
12.01,16.04,6.92,55.73,41.37
11.93,15.96,6.86,55.42,39.97
11.88,16.1,6.98,56.02,39.77
11.93,16.01,6.87,54.9,39.95
11.96,16.05,6.91,53.53,39.89
11.99,16.13,6.96,53.15,39.62
11.92,16.03,6.83,54.77,39.48
11.85,16.0,6.92,54.5,39.58
12.01,16.0,6.82,55.38,39.72
11.95,15.93,6.89,52.88,40.6
11.88,15.96,6.96,52.63,39.65
11.93,16.09,6.96,55.59,39.94
11.88,15.94,6.87,55.55,39.6
12.0,16.13,6.94,55.7,39.76
12.02,15.93,6.97,55.11,39.51
12.01,15.9,6.84,55.88,39.65
11.91,15.97,6.95,55.81,39.56
11.95,15.97,6.99,55.14,39.57
12.05,16.05,6.91,53.92,39.63
11.88,16.08,6.89,54.09,40.29
11.93,16.02,6.95,53.75,39.66
11.99,16.15,6.83,56.0,39.6
11.9,16.05,7.01,54.87,39.65
12.09,16.07,6.82,56.34,39.73
12.01,16.06,6.84,55.85,39.77
11.86,15.99,6.83,55.21,40.36
12.02,16.03,6.95,55.84,40.02
11.89,16.08,6.83,53.5,39.78
11.82,16.04,6.91,53.04,39.78
12.17,16.01,6.83,54.9,39.66
11.91,15.96,6.92,54.7,39.59
11.98,16.09,6.92,55.68,39.48
11.98,16.22,6.9,55.56,39.75
11.85,16.07,6.95,54.98,39.98
11.89,16.02,6.97,55.59,39.47
11.92,16.0,6.77,55.99,39.76
11.95,16.04,6.86,54.62,39.49
11.9,16.03,6.91,53.02,39.82
12.0,16.03,6.86,55.49,39.64
11.97,16.01,6.76,57.03,39.88
11.99,16.03,6.76,56.09,39.63
11.86,16.11,6.9,55.65,39.85
11.84,16.08,7.2,55.26,39.42
12.05,16.12,7.18,56.3,39.66
12.05,15.95,7.18,54.92,39.5
12.11,16.06,6.89,56.19,39.66
11.82,16.04,6.83,56.07,39.74
11.98,16.02,6.91,51.56,39.84
12.06,16.6,6.86,165.14,39.92
12.04,16.17,6.9,59.24,39.49
12.11,15.91,6.88,53.55,39.78
11.9,16.23,6.94,51.72,39.72
11.94,16.05,6.87,51.82,39.5
12.09,16.17,6.96,51.46,39.38
11.94,15.93,6.8,51.05,39.54
11.9,16.03,6.8,98.61,39.52
12.0,15.96,6.96,125.76,39.47
11.91,16.09,6.88,94.95,39.72
11.89,16.09,6.92,67.09,39.55
11.83,15.96,6.75,51.63,39.67
11.91,16.0,6.89,51.44,39.82
11.96,15.96,6.78,51.51,39.67
11.89,16.01,6.92,51.62,39.53
12.0,15.98,6.99,51.96,39.7
11.72,16.12,6.79,52.03,39.55
12.08,15.96,6.86,52.21,39.64
11.84,15.93,7.0,53.38,39.74
11.97,16.04,6.92,60.3,39.7
11.99,15.83,6.9,67.42,39.58
11.93,16.0,6.96,53.52,39.5
12.05,16.15,6.82,51.32,39.43
11.96,16.07,6.91,51.29,39.57
11.98,16.03,6.79,50.95,39.7
11.98,16.08,6.87,50.74,39.67
11.9,16.01,6.76,49.2,39.74
12.03,16.16,6.88,48.81,39.69
11.92,16.2,6.89,48.78,39.59
12.08,16.04,6.78,48.05,39.68
