P-521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
24.78,51.13,24.91,213.27,162.2
39.01,35.68,22.43,178.79,171.08
25.42,51.39,21.67,143.7,102.82
25.77,32.71,14.71,210.25,175.95
23.66,54.65,22.74,119.85,102.52
23.73,33.39,22.13,206.0,165.72
25.24,51.43,14.51,124.02,172.08
24.69,49.97,14.75,123.31,102.17
40.68,49.56,22.67,217.95,163.94
23.94,50.41,14.51,122.25,101.19
32.17,50.55,21.98,207.84,149.35
23.96,50.27,14.01,193.8,105.77
23.89,51.77,24.25,197.65,171.32
28.11,51.03,21.8,126.3,103.78
24.09,49.96,13.94,187.07,163.07
24.54,50.34,23.25,123.18,159.49
28.48,50.85,24.46,186.56,169.36
24.17,50.61,13.96,122.01,165.57
24.79,51.8,22.4,199.81,104.19
24.99,51.42,21.76,122.0,170.04
33.04,50.31,23.23,168.24,170.74
39.17,52.26,22.28,197.12,179.6
30.0,50.93,21.78,122.69,173.08
24.84,52.14,19.95,130.19,167.49
40.26,53.37,24.0,193.44,103.2
28.27,51.61,14.12,150.5,173.04
39.44,51.11,22.64,123.69,104.56
25.16,54.71,23.68,147.74,162.13
24.91,53.73,23.54,205.51,164.12
40.98,54.2,14.98,3690.01,178.09
25.43,54.47,24.23,196.08,170.0
34.59,54.93,22.5,123.09,165.65
41.79,54.65,13.7,189.52,108.77
25.06,54.35,21.17,161.36,161.17
34.34,54.67,21.96,195.47,174.54
23.55,56.1,22.34,184.63,172.7
25.32,55.84,23.8,121.87,163.27
24.96,54.03,21.73,194.95,126.57
26.06,52.18,22.12,189.49,170.16
26.32,51.11,23.98,133.36,180.93
24.74,38.85,15.03,187.64,103.36
28.87,53.98,24.46,132.15,171.92
27.25,53.77,23.66,192.52,163.23
29.18,52.98,14.22,124.23,122.9
27.39,53.53,23.69,202.07,172.87
25.5,53.29,22.04,124.83,104.63
24.14,51.37,14.11,128.49,169.06
40.16,51.99,23.56,150.08,163.46
25.66,52.06,15.33,173.91,144.74
25.27,52.32,23.66,160.65,110.8
24.31,52.31,14.0,120.38,154.31
26.0,51.63,21.86,187.26,122.36
24.36,52.43,14.26,141.06,154.46
24.99,51.79,21.71,203.71,102.75
23.85,43.03,22.45,119.86,168.06
25.28,48.75,21.38,186.01,105.42
24.68,51.01,14.32,119.48,173.72
25.13,49.32,15.19,189.9,163.68
29.49,39.59,23.2,204.41,163.32
29.69,38.99,13.93,189.91,164.03
24.23,39.11,23.01,200.55,164.07
25.91,39.02,22.03,200.93,111.42
25.29,51.42,14.19,120.83,112.37
25.19,49.23,15.34,201.23,164.38
24.3,50.02,23.0,201.35,176.07
39.27,50.43,16.59,197.06,104.31
24.3,50.28,14.26,186.05,172.78
25.34,50.38,24.39,121.84,163.4
24.7,50.7,15.43,209.43,104.18
24.49,51.81,22.29,200.24,106.91
37.23,51.59,22.79,217.14,155.55
30.45,49.45,21.01,202.2,103.94
24.36,50.43,14.51,159.98,177.49
34.93,52.88,22.21,122.25,104.24
27.08,50.19,24.07,192.95,170.83
25.1,49.97,24.73,187.22,166.87
25.91,50.2,17.85,124.26,105.2
24.17,50.34,22.29,193.46,173.5
26.22,51.09,24.61,123.31,120.68
27.85,52.48,23.39,193.9,110.24
40.1,42.63,14.81,187.19,108.78
28.84,53.43,21.1,191.26,103.26
38.23,54.59,21.92,121.32,106.65
25.57,54.18,18.8,136.63,103.37
40.21,34.02,23.77,146.44,105.8
23.69,51.52,22.45,166.99,102.4
25.5,38.97,13.84,121.01,102.16
38.66,55.1,23.5,178.17,102.94
30.95,36.95,22.14,123.06,115.19
32.49,56.71,22.54,196.55,102.28
40.44,56.33,23.24,155.81,180.18
23.36,33.33,14.54,199.33,113.18
26.3,52.95,15.97,198.09,155.26
37.81,54.36,22.87,134.34,104.8
24.87,51.73,16.45,122.56,174.67
37.54,40.38,22.61,185.86,113.9
24.91,53.53,15.49,187.5,163.38
23.79,51.64,21.8,201.57,166.45
25.6,55.24,16.28,124.03,165.85
26.66,53.93,22.62,122.7,143.6
35.3,53.17,14.38,203.33,145.67
24.48,53.3,22.99,124.05,102.55
23.81,54.66,22.0,213.81,102.2
24.78,51.28,24.41,124.18,175.82
29.8,38.82,20.18,124.37,158.34
30.79,52.45,24.23,192.04,107.81
23.53,53.55,17.33,122.82,167.67
23.87,33.95,22.62,196.24,106.71
31.58,40.16,22.41,124.5,167.06
25.89,52.46,15.81,200.26,160.24
41.55,46.11,22.16,186.28,120.15
24.35,36.94,21.79,202.84,122.41
24.31,46.02,15.62,191.11,141.23
26.59,36.36,22.55,198.41,106.5
23.87,56.98,22.09,197.54,137.05
23.56,52.75,23.99,207.94,105.6
24.79,53.27,15.41,121.28,104.34
28.64,50.56,23.28,125.42,146.79
24.02,56.7,14.03,125.25,108.04
24.12,52.9,22.56,125.01,112.99
23.62,39.56,14.29,129.56,141.09
24.56,51.61,24.68,197.9,140.07
24.01,52.71,15.55,125.75,136.38
25.25,43.2,24.14,204.83,141.44
24.33,33.15,14.39,185.53,108.71
27.27,54.86,22.68,123.48,115.28
35.69,42.54,21.78,194.96,164.71
32.76,51.69,24.11,197.27,104.47
32.07,38.06,14.06,124.68,107.79
30.61,50.66,22.3,205.16,176.96
39.71,32.84,15.07,126.6,104.95
24.48,50.16,21.95,119.9,174.65
29.76,54.79,22.73,187.32,162.04
25.4,54.61,22.45,132.55,105.29
23.92,49.22,21.8,198.15,168.7
24.44,52.66,15.4,123.36,101.31
39.96,50.22,15.53,122.41,158.86
25.39,49.49,22.57,122.88,110.13
35.94,51.48,14.51,196.69,161.31
25.29,51.5,21.74,128.52,159.97
25.48,51.77,24.24,196.92,111.71
24.54,35.44,14.11,191.18,166.62
30.7,54.2,23.86,125.67,166.4
38.47,52.58,17.76,201.85,112.04
25.91,52.71,23.55,127.74,114.33
41.41,53.6,15.04,128.51,170.19
24.07,53.22,21.3,191.01,102.79
36.37,53.01,23.95,125.25,177.45
36.81,52.71,24.18,184.25,104.18
24.48,53.95,14.35,128.7,104.33
37.94,52.78,24.43,200.93,161.16
25.73,51.3,21.93,125.66,118.14
39.91,43.95,23.98,201.69,165.2
24.62,50.84,14.69,137.68,174.18
26.7,50.3,21.75,192.18,103.41
42.19,52.03,21.59,209.16,177.84
25.18,55.68,16.82,123.85,103.73
25.06,52.17,24.76,134.65,169.82
27.23,52.64,14.16,192.85,103.03
23.29,36.56,23.46,141.26,170.06
31.5,54.02,13.98,125.14,102.32
34.49,54.68,21.81,197.74,165.92
26.57,57.49,21.79,152.26,115.71
23.72,57.24,14.03,167.9,168.15
23.97,53.3,23.91,127.01,109.4
23.82,52.57,13.96,185.52,157.69
28.41,52.39,25.23,136.46,113.11
24.77,53.02,14.29,213.46,164.5
25.56,53.32,23.23,207.09,167.22
27.49,53.69,14.47,205.89,104.09
24.35,53.57,24.45,138.06,104.58
25.58,53.66,14.79,185.03,157.2
23.73,55.66,21.63,120.34,133.31
24.2,53.79,22.75,213.28,113.04
24.47,53.53,24.77,120.3,159.02
33.27,51.11,14.54,180.96,102.57
27.27,51.38,22.45,122.78,3740.75
25.0,52.3,14.77,187.3,101.65
24.51,52.0,16.92,122.25,164.41
23.64,57.56,14.14,184.51,105.62
24.32,53.81,15.82,129.6,104.61
23.66,55.53,13.93,207.62,113.82
23.95,54.51,20.04,122.05,101.5
25.18,54.35,23.14,123.16,116.75
24.69,56.54,14.14,161.93,161.87
25.5,55.0,21.65,131.34,102.46
25.19,55.01,14.05,157.03,171.66
29.94,52.91,22.0,163.25,106.12
24.98,52.13,14.4,163.32,103.85
25.17,52.69,16.2,155.62,103.1
24.2,51.89,23.04,120.94,163.25
25.28,50.99,13.92,130.86,161.32
23.92,50.75,22.63,119.75,165.51
26.2,50.59,13.96,188.66,104.99
24.0,48.82,24.05,205.01,172.72
26.59,54.71,14.28,192.19,102.79
25.58,54.37,21.95,202.91,162.31
23.53,54.21,14.12,205.62,106.16
25.04,43.15,21.45,188.29,161.8
25.67,51.35,22.09,121.85,166.2
24.34,51.1,16.06,209.73,151.38
32.64,52.62,22.84,186.5,107.26
35.57,51.44,14.32,196.04,172.92
28.18,49.31,14.54,120.67,168.76
28.38,50.49,22.08,195.31,179.06
24.02,51.32,14.97,120.55,157.91
23.26,54.28,22.49,191.73,105.46
25.0,53.87,22.24,194.05,167.53
26.69,53.79,23.23,3702.52,106.01
24.46,53.88,14.43,157.32,165.17
23.93,53.09,24.22,201.56,105.09
28.66,51.95,14.71,208.26,162.49
30.87,52.65,20.12,124.39,106.74
24.05,52.78,15.47,185.13,162.97
26.19,49.78,14.15,198.77,104.25
24.81,52.04,23.07,120.25,165.6
30.81,52.7,14.22,121.82,101.32
28.31,53.21,24.74,200.99,110.93
25.34,53.73,15.02,161.72,168.5
24.96,53.58,22.77,182.66,108.64
30.68,54.33,15.77,169.11,108.14
31.68,53.37,22.05,177.53,164.86
32.64,54.15,24.02,186.56,104.22
26.04,54.17,14.7,123.35,171.92
26.23,56.83,24.48,120.36,107.61
30.64,53.67,16.83,195.85,169.54
25.49,54.69,23.38,122.71,147.91
28.03,54.81,14.48,186.43,172.72
31.22,57.92,22.91,124.36,131.31
24.61,58.13,14.21,191.8,166.25
26.19,54.74,22.66,172.61,163.82
25.05,57.01,19.34,123.28,105.1
23.91,53.14,14.67,206.9,116.16
24.65,52.16,23.0,119.1,180.61
28.89,53.65,19.16,148.26,105.66
31.03,52.65,23.4,192.67,169.63
25.18,52.1,14.99,123.06,105.09
23.82,54.01,22.02,190.46,172.26
28.6,54.14,14.35,121.19,135.38
31.73,51.89,24.36,186.28,104.95
24.14,52.33,16.5,186.57,158.61
38.4,53.36,22.89,126.31,132.43
25.59,51.04,22.89,198.0,160.71
24.45,52.36,24.54,130.58,145.89
27.61,52.61,21.09,211.28,101.23
25.73,53.03,17.08,124.37,130.13
24.96,52.62,22.84,196.83,103.81
26.13,52.62,15.13,206.59,159.05
25.23,52.16,16.14,120.91,103.21
24.57,51.75,24.04,205.96,122.37
25.9,53.56,15.46,197.88,104.05
24.59,55.8,25.34,199.41,102.97
24.13,51.55,14.1,215.51,160.93
35.17,49.75,22.68,185.49,102.91
33.86,51.97,14.44,190.77,170.78
35.83,51.44,24.45,150.51,105.5
24.16,53.11,22.66,186.16,166.72
34.2,54.22,19.25,200.16,103.54
25.76,55.24,20.77,125.41,173.78
24.85,53.76,22.53,190.5,132.21
25.64,52.48,16.36,141.38,161.6
25.73,52.32,16.51,191.03,105.81
29.84,52.0,17.47,194.71,185.15
28.55,51.81,20.03,194.4,103.99
24.13,52.33,17.91,205.37,155.97
25.17,50.51,23.95,122.2,102.73
25.6,50.49,21.84,187.01,102.91
26.68,49.94,18.78,168.71,113.36
26.58,51.13,15.57,200.45,166.94
26.37,52.76,23.32,210.89,105.71
25.91,52.31,17.07,178.41,173.63
27.49,40.34,24.36,204.6,102.0
25.41,50.99,16.02,213.06,157.34
23.93,51.16,23.06,129.56,102.78
25.22,50.26,14.7,186.79,162.12
24.88,50.45,22.64,123.94,104.52
40.92,54.08,22.62,197.59,161.36
31.86,53.47,14.54,122.37,104.48
32.1,55.14,20.54,207.0,175.33
25.17,56.18,16.66,189.16,101.33
38.22,55.21,16.45,122.53,172.33
36.36,55.94,20.71,202.87,174.67
35.5,52.23,14.69,120.01,114.48
31.47,51.19,19.54,169.49,172.55
31.87,51.91,20.78,187.06,102.81
26.0,53.59,14.64,126.38,175.14
31.42,51.44,17.77,134.89,163.09
25.34,52.92,14.09,185.64,105.4
25.99,54.63,15.04,195.24,171.19
28.14,52.61,24.23,131.66,169.53
24.62,52.44,15.08,189.72,104.97
25.87,51.92,17.42,125.79,168.45
31.34,52.55,14.85,137.09,103.42
24.43,53.09,14.3,132.18,106.65
25.31,36.06,17.1,214.44,158.32
24.75,53.81,20.08,125.26,104.38
26.33,53.93,14.72,187.36,104.27
32.26,54.88,22.48,121.99,161.17
26.05,37.19,17.03,191.28,109.92
26.27,53.74,16.86,199.45,102.25
36.4,52.26,20.58,124.64,167.79
24.84,53.13,14.14,190.69,104.17
25.88,38.07,22.52,121.57,157.88
25.24,56.22,17.32,191.8,109.19
31.75,53.41,17.52,203.12,150.31
24.78,56.26,14.03,123.47,104.05
25.33,57.51,17.09,177.73,164.36
25.99,57.44,22.46,148.08,131.08
24.94,57.24,17.12,168.66,108.91
28.38,57.45,24.32,165.25,158.58
29.74,57.27,21.53,152.18,108.16
39.44,51.03,14.58,160.59,180.22
24.9,50.13,21.83,187.96,105.54
29.13,51.57,23.76,189.74,158.1
25.21,50.95,14.85,126.51,105.58
25.27,40.91,22.51,193.96,162.19
25.06,54.93,16.78,138.78,164.37
25.02,54.48,23.27,169.79,102.34
26.64,54.68,16.16,174.6,170.07
26.16,55.14,22.3,125.15,169.65
32.05,54.29,14.09,144.3,108.89
29.51,47.95,22.89,152.77,167.56
24.63,54.37,15.09,125.44,111.37
26.73,54.85,22.7,189.35,161.28
39.62,54.0,15.21,172.52,107.05
31.37,54.43,22.84,200.22,114.24
25.86,34.34,14.32,197.99,170.94
26.73,51.06,22.72,129.22,146.66
30.21,35.57,24.93,196.95,104.98
30.88,50.79,21.5,135.28,169.57
29.59,50.8,24.03,211.35,102.82
25.09,51.87,14.73,199.53,107.25
34.07,52.45,14.41,124.19,167.65
26.68,52.42,22.0,195.81,165.8
25.54,52.05,23.41,214.13,109.61
27.18,52.79,24.26,128.55,168.26
23.82,52.33,16.02,186.06,164.09
24.36,51.59,14.91,128.07,164.02
24.19,50.75,21.53,187.28,101.19
24.89,50.11,20.56,126.21,166.97
23.8,49.66,21.16,197.63,176.57
28.36,49.58,14.5,196.21,104.27
29.02,34.83,21.28,191.2,168.72
23.86,52.16,21.98,123.75,101.21
24.88,53.22,16.34,186.26,106.25
24.79,51.96,21.61,147.71,168.93
33.92,52.41,21.03,208.0,104.88
33.19,52.1,21.7,121.09,113.79
34.49,52.0,14.63,200.71,109.81
33.95,52.85,22.46,209.37,104.4
33.35,35.78,14.08,125.56,104.69
36.6,3616.17,24.24,205.9,101.16
27.96,53.46,14.02,190.14,165.22
29.92,52.97,23.42,189.03,123.59
24.91,52.87,16.03,122.69,172.8
23.86,53.02,22.76,202.72,101.83
23.49,50.42,15.62,161.12,169.55
23.65,49.39,16.43,158.07,124.13
27.38,51.25,22.23,195.78,161.3
23.93,53.29,14.86,190.02,119.9
24.99,53.01,23.73,158.52,104.79
23.41,53.2,23.42,120.57,160.31
24.63,53.1,14.32,191.02,101.94
24.64,53.44,23.44,124.85,170.23
24.44,45.22,14.28,202.14,162.12
26.27,49.01,21.6,142.45,111.54
24.37,49.82,20.64,192.21,105.57
25.76,49.42,21.3,161.11,109.16
24.93,51.74,14.0,186.33,108.9
38.4,50.46,22.51,123.0,158.29
30.16,52.12,14.8,199.81,149.44
24.92,51.72,22.68,121.04,165.96
25.16,50.76,22.29,187.17,101.79
23.94,50.93,23.99,121.79,150.18
25.32,51.65,15.44,203.9,103.12
25.75,51.52,22.2,120.49,171.18
29.46,33.07,13.77,121.44,101.51
26.39,52.48,23.87,185.49,158.54
23.87,54.51,14.95,124.95,129.78
24.01,56.03,24.5,194.7,103.72
23.54,56.26,15.46,122.36,108.65
23.62,56.2,22.49,206.83,179.53
24.87,52.78,22.0,198.43,104.89
27.61,50.62,16.75,3733.9,164.54
24.34,52.1,22.64,139.87,109.75
24.51,50.91,22.49,149.69,168.37
23.64,49.86,22.08,127.5,103.24
25.05,49.37,22.58,161.13,168.17
24.32,50.13,22.35,156.69,155.96
24.63,50.57,22.43,154.5,106.81
23.69,49.99,18.72,123.18,3705.18
25.03,52.47,18.96,162.17,105.79
24.74,52.02,23.5,170.25,179.15
24.66,50.03,14.86,124.55,167.01
25.72,49.0,22.19,192.58,101.43
26.34,50.29,16.36,122.52,171.22
26.05,51.06,23.59,199.56,103.67
25.75,50.57,13.99,193.98,182.01
23.71,51.7,24.19,141.85,126.16
29.49,54.33,22.21,184.38,101.13
23.8,54.39,14.09,126.33,166.31
23.7,54.12,14.16,126.84,107.77
24.23,54.32,23.29,201.09,161.0
24.72,53.92,21.8,120.55,112.84
24.3,54.33,14.04,161.13,157.62
24.92,56.3,23.88,199.5,112.95
25.96,54.81,23.64,126.21,172.16
29.98,55.45,14.5,123.73,165.61
23.94,56.35,22.13,159.61,105.69
23.91,56.17,21.89,124.49,174.33
25.8,54.66,15.04,121.63,103.7
37.57,54.68,22.34,123.44,169.23
28.18,55.0,22.46,122.03,103.52
40.68,54.72,21.82,189.69,173.01
26.59,51.35,15.02,121.3,102.86
38.17,51.91,22.32,124.0,135.87
41.17,44.56,21.87,186.36,132.62
25.3,49.33,21.87,121.85,105.24
24.56,49.83,14.18,125.56,147.09
25.5,35.59,24.88,198.35,107.38
24.43,52.51,22.47,160.57,153.02
23.96,52.06,23.86,192.69,105.61
23.46,52.25,22.28,123.51,169.66
41.5,52.33,23.86,205.72,104.0
38.73,51.66,22.18,124.38,163.48
32.85,53.2,14.02,189.48,152.95
42.36,51.68,23.55,133.05,101.59
38.1,43.4,14.93,188.55,164.06
42.56,38.93,24.85,120.83,117.62
24.64,39.33,14.08,196.12,172.09
40.67,51.98,24.26,125.86,102.79
26.95,56.19,15.88,197.45,171.45
37.32,56.47,24.24,125.62,172.28
38.66,53.13,14.99,189.4,103.3
25.44,53.69,14.26,204.62,175.87
25.33,53.17,22.06,120.56,173.59
24.18,54.44,17.26,124.84,105.31
23.99,54.68,22.84,140.99,168.93
24.55,51.5,16.97,186.2,115.96
26.16,50.68,15.35,207.34,170.64
24.39,51.59,24.02,126.74,175.5
23.74,53.81,14.76,201.53,110.62
24.63,55.19,21.91,189.26,162.26
24.79,52.25,14.73,125.37,121.43
30.17,50.78,15.88,200.29,175.88
42.1,55.51,19.59,123.81,103.11
42.23,55.69,16.27,132.92,168.61
25.14,55.98,20.59,202.73,161.37
37.53,53.65,21.71,185.66,167.51
37.42,53.38,15.19,121.4,104.39
24.82,51.59,23.79,156.91,158.6
37.5,50.17,20.27,160.63,169.76
38.83,50.45,23.64,173.01,101.44
23.61,49.63,24.09,156.52,173.33
40.58,50.49,14.37,135.02,104.01
27.28,49.4,14.01,125.02,186.01
40.3,54.74,16.76,189.48,162.59
26.27,52.53,22.36,120.69,159.19
40.84,52.36,14.61,185.77,108.99
25.34,52.66,22.1,182.98,157.61
26.26,52.76,14.44,124.2,106.83
24.76,53.03,23.69,188.76,105.64
42.98,55.58,24.38,125.78,105.5
38.52,55.86,22.85,209.73,164.32
25.36,56.09,14.58,124.78,170.18
23.87,55.95,25.21,198.8,104.98
38.16,55.35,14.38,152.13,160.47
25.09,55.9,23.89,179.51,179.87
41.06,54.21,14.57,124.29,117.1
24.95,54.36,23.38,181.91,169.76
23.96,53.75,14.09,123.03,106.42
38.21,52.22,24.56,138.31,175.36
31.6,52.65,14.6,157.03,134.93
27.83,52.07,22.34,157.54,165.06
38.44,52.51,21.58,174.6,161.86
27.23,50.53,14.32,123.13,113.35
42.05,50.98,23.83,122.11,169.44
34.88,49.63,22.26,199.35,112.71
25.08,49.77,24.05,143.89,166.44
38.5,49.87,14.16,188.94,113.61
41.29,50.64,22.7,196.18,160.31
39.16,50.12,16.24,183.36,165.37
43.1,50.19,22.99,152.8,123.54
37.0,51.45,24.69,199.19,162.97
36.33,50.74,24.96,130.79,175.1
37.86,53.08,22.76,195.3,161.07
24.9,52.73,24.88,200.86,103.71
40.07,33.22,23.45,188.87,167.68
25.29,54.31,21.71,123.4,160.65
37.12,54.58,24.37,207.36,107.16
24.45,54.3,14.31,168.52,170.81
35.44,54.55,19.77,199.48,101.67
40.25,54.58,22.48,195.05,165.79
34.09,55.77,24.55,196.85,163.96
40.75,54.95,22.57,134.9,163.03
25.89,54.53,14.9,125.3,168.11
34.11,54.87,23.49,198.01,157.26
36.39,54.42,14.22,147.47,106.08
24.8,53.68,21.65,187.45,162.77
32.49,50.36,22.62,135.28,165.57
24.8,49.38,24.18,147.68,107.01
33.82,33.64,24.94,198.52,165.58
42.49,49.98,22.77,121.33,162.55
24.78,53.5,22.38,200.64,104.63
40.43,52.52,21.49,131.93,102.97
24.6,52.26,14.41,198.41,170.53
42.24,52.96,24.06,121.18,102.48
