P-521,mlkem1024,hqc256
12.48,2.72,93.76
12.55,2.45,93.11
13.4,2.7,92.12
15.97,2.7,92.23
12.39,2.58,91.61
15.1,2.76,94.2
12.98,2.99,96.1
15.93,2.68,113.19
13.54,2.6,113.68
12.2,2.75,92.19
14.05,2.71,91.15
12.66,2.9,92.64
13.34,3.88,91.87
12.43,4.02,91.87
13.68,2.65,91.48
13.47,2.52,91.34
14.36,2.64,91.25
13.03,2.43,98.83
12.57,2.71,92.05
12.54,2.62,94.22
12.67,2.52,92.19
14.65,2.55,93.35
12.29,2.67,93.3
23.52,2.38,93.7
21.37,2.42,92.28
18.69,2.41,92.3
12.69,2.6,91.56
13.18,2.75,92.54
12.29,2.55,91.3
12.46,2.39,91.85
12.18,3.79,91.91
12.78,2.31,92.51
13.18,2.74,91.39
14.09,2.71,91.48
12.92,3.02,95.42
12.69,2.78,106.08
15.32,2.6,91.17
12.67,2.71,91.77
12.63,2.58,91.01
12.51,2.88,92.79
12.44,3.78,91.41
12.25,3.04,92.0
14.03,2.98,94.4
12.14,3.54,102.84
11.99,2.87,92.28
12.04,2.72,91.91
12.05,2.88,96.17
12.59,2.61,92.07
12.34,2.62,91.51
12.06,3.05,91.17
12.21,2.92,92.04
12.24,2.84,93.83
12.23,2.61,96.37
12.09,2.49,91.95
12.22,2.46,92.06
12.2,2.73,91.95
12.21,2.48,91.49
12.25,2.56,92.14
12.32,2.62,91.79
12.16,2.56,92.0
12.62,2.54,93.18
12.17,2.82,91.83
15.74,2.71,94.38
12.41,2.77,91.56
12.33,2.77,92.36
12.4,2.51,93.49
12.28,2.36,92.64
12.67,2.49,93.19
13.12,2.53,95.4
12.58,2.48,93.88
13.13,2.59,96.36
12.78,2.59,93.46
12.06,3.2,92.53
12.25,2.85,125.98
11.97,3.14,92.5
12.44,3.95,92.13
12.85,2.92,92.32
12.87,2.94,91.92
12.69,2.54,91.2
13.6,2.46,91.86
12.68,2.31,91.9
12.89,2.55,91.14
14.33,2.27,92.01
13.84,2.48,106.15
13.45,2.54,92.75
13.23,2.44,91.88
11.94,2.39,92.12
13.29,2.31,93.23
12.84,2.36,93.31
13.02,2.25,91.78
12.26,2.41,92.6
11.87,2.61,92.11
12.07,2.37,92.05
12.18,2.69,92.25
12.01,2.37,91.74
12.35,2.53,92.47
12.12,2.55,92.57
12.1,2.37,91.86
12.04,3.04,91.5
12.01,2.56,91.66
12.18,2.55,91.2
16.09,2.4,93.03
12.61,2.29,91.92
12.12,2.31,91.79
12.18,2.4,93.06
12.17,2.43,93.16
12.8,2.41,91.25
12.04,2.52,91.35
16.98,2.59,91.66
12.5,2.39,92.19
12.78,2.3,111.26
12.81,2.89,92.94
21.54,3.54,91.63
20.92,2.61,120.8
13.42,3.5,92.19
12.56,2.68,92.15
12.62,3.44,91.88
12.28,2.46,92.04
12.74,2.44,94.01
12.49,2.42,93.24
12.72,2.61,91.97
12.25,2.47,93.11
12.29,2.64,92.99
12.59,2.43,90.98
12.95,2.46,91.6
14.54,2.45,91.05
12.31,2.32,91.92
12.26,2.45,91.2
12.4,2.58,91.64
12.97,2.5,91.42
12.6,2.5,91.26
12.61,2.59,93.06
12.34,2.4,93.58
15.32,2.39,95.78
12.52,2.55,92.55
12.38,2.44,91.41
12.2,2.46,95.82
12.06,2.55,91.72
12.22,2.42,91.3
11.98,2.44,92.02
11.94,2.42,92.2
12.23,2.39,93.55
12.21,2.41,91.65
12.29,2.37,94.31
12.42,2.61,91.42
12.0,2.48,92.75
12.64,2.38,94.38
11.82,2.44,94.13
12.31,2.67,91.95
12.32,2.32,96.37
12.19,2.38,90.97
11.99,2.44,91.82
11.75,2.45,91.33
11.78,2.45,91.72
11.75,2.51,91.52
12.15,2.4,91.47
11.9,2.23,91.45
11.92,2.22,103.53
13.46,2.33,100.64
12.3,2.57,93.91
12.98,2.49,92.16
12.86,2.62,91.4
11.99,2.46,93.46
12.11,2.53,91.33
12.24,2.82,93.06
12.26,2.81,115.9
12.21,2.96,92.11
12.3,3.14,93.22
12.08,2.95,92.2
12.44,2.85,91.0
12.12,2.55,91.36
12.28,3.05,91.78
12.22,2.94,97.2
11.92,2.67,91.44
13.21,2.47,92.15
12.81,2.35,91.94
18.91,2.55,91.44
19.89,2.51,93.22
12.39,2.41,91.48
12.25,2.44,92.58
12.22,2.34,92.28
11.83,2.46,121.53
12.05,2.54,123.46
11.89,2.49,91.8
12.36,2.48,91.45
11.93,2.42,91.37
12.03,2.25,91.91
12.24,2.29,98.93
12.02,2.42,91.31
11.9,2.31,91.97
12.78,2.44,91.71
12.81,2.49,94.44
12.06,2.4,93.9
12.37,2.51,92.02
11.93,2.5,93.33
12.1,2.34,93.16
12.36,2.39,91.91
12.36,2.51,91.41
12.33,2.96,91.57
12.35,2.67,91.9
12.25,2.68,99.06
12.01,2.89,91.45
12.39,2.67,120.06
12.01,2.68,91.59
12.06,2.55,105.21
12.23,2.67,123.74
12.93,2.75,92.51
13.4,2.63,92.92
12.4,2.82,93.99
12.06,2.84,104.17
12.42,2.86,91.42
12.84,2.47,92.22
12.43,2.53,92.52
12.34,2.54,91.71
12.29,2.54,92.51
12.18,2.55,106.59
12.24,2.31,103.55
12.22,2.23,92.2
12.6,2.37,91.86
14.52,2.42,91.56
17.49,2.54,93.17
12.11,2.5,91.9
12.38,2.21,92.13
12.49,2.28,93.71
12.2,2.28,92.33
12.95,2.43,92.2
15.05,2.53,92.56
17.47,2.41,93.3
17.14,2.42,94.17
14.5,2.3,92.67
12.82,2.35,93.99
13.06,2.48,95.91
12.42,2.36,95.75
12.86,2.62,92.74
13.19,2.62,94.6
12.3,2.41,93.04
12.03,2.28,96.05
12.38,2.36,99.29
12.68,2.37,95.82
12.12,2.26,93.87
12.13,2.26,93.85
12.16,2.24,93.55
12.09,2.29,95.69
12.01,2.54,94.88
12.0,2.37,113.83
11.91,2.41,91.9
12.18,2.61,92.32
12.43,2.67,127.45
11.9,2.34,95.56
11.92,2.86,93.24
11.91,2.57,99.56
12.07,2.36,101.89
12.11,2.73,92.53
12.94,2.49,103.39
13.78,2.42,109.82
13.0,2.55,128.31
13.1,2.57,92.97
12.24,2.53,92.92
12.89,2.42,92.79
12.33,2.46,91.87
12.73,2.56,94.87
12.06,2.58,99.73
12.21,2.88,92.35
13.14,2.68,93.34
13.24,2.77,92.63
12.77,2.7,92.69
12.64,2.71,92.94
12.91,3.01,3655.92
12.39,2.75,93.89
12.45,2.75,93.59
12.44,2.73,93.48
12.61,2.72,93.58
13.78,2.65,92.17
13.85,2.59,94.0
12.47,3.17,92.98
13.98,3.02,92.58
12.77,2.62,93.12
16.96,2.49,91.47
13.78,2.34,103.39
12.6,2.3,92.5
13.73,2.63,92.47
13.09,2.29,93.41
12.51,2.5,92.37
13.86,2.74,91.94
16.3,2.47,92.52
12.56,2.51,98.52
12.17,2.72,93.51
13.08,2.54,93.29
12.12,2.48,93.8
15.18,2.5,102.15
13.1,2.27,93.65
12.56,2.25,92.25
12.2,2.41,93.08
12.72,2.36,91.36
12.9,2.44,96.7
12.24,2.37,94.21
12.17,2.31,91.52
12.16,2.34,92.44
12.43,2.26,91.67
12.35,2.36,93.51
12.79,2.33,94.06
12.23,2.41,92.43
12.43,2.52,92.62
12.43,2.34,92.25
12.23,2.29,96.7
12.1,2.31,92.66
11.93,2.33,92.16
12.01,2.3,91.86
12.14,2.23,92.83
12.03,2.48,91.79
12.14,2.29,92.06
12.8,2.23,91.96
12.17,2.26,91.67
12.89,2.33,92.62
12.37,2.4,95.88
12.19,2.56,103.6
12.29,2.4,92.46
12.57,2.33,93.17
12.55,2.37,92.45
12.55,2.45,90.95
12.47,2.39,94.91
17.78,3.16,93.09
12.65,2.96,93.52
12.75,2.7,95.26
12.92,2.65,91.61
12.2,2.51,94.01
12.09,2.32,93.77
12.38,2.29,123.66
12.06,3.11,93.95
12.5,2.55,94.75
13.54,2.54,95.67
12.78,2.29,93.65
13.88,2.42,90.98
12.31,2.57,92.13
12.14,2.22,119.25
12.25,2.46,118.56
12.12,2.44,92.3
12.17,2.64,92.6
12.21,2.41,93.07
12.14,2.53,91.41
12.23,2.38,91.15
13.25,2.32,118.52
12.79,2.51,115.29
12.26,2.51,90.83
12.35,2.93,93.17
12.19,3.38,91.45
12.23,2.61,96.99
12.14,2.35,92.75
12.58,2.33,91.64
12.2,2.4,99.26
12.49,2.3,110.2
12.67,2.21,91.28
12.21,2.29,95.3
12.4,2.31,91.4
12.19,2.31,92.25
12.79,2.49,91.51
12.72,2.24,91.66
15.54,2.52,92.14
13.09,2.54,92.27
13.14,2.21,92.28
12.28,2.71,95.87
13.06,2.32,92.08
12.38,2.31,91.43
12.62,2.83,91.5
12.58,3.05,91.94
12.49,3.6,123.59
12.54,2.62,103.15
12.29,2.81,92.95
12.12,3.03,91.71
12.33,2.99,91.05
11.94,2.64,92.92
12.69,2.51,93.14
12.21,2.45,95.22
12.16,2.37,92.66
12.28,2.36,92.19
12.2,2.36,92.67
12.18,2.47,92.25
12.12,2.22,93.04
12.31,2.19,92.92
12.17,2.17,98.83
12.15,2.32,92.59
12.33,2.26,92.81
12.19,2.32,91.44
12.08,2.5,94.03
12.26,2.45,119.77
12.09,2.4,91.62
12.2,2.35,92.34
12.17,2.77,91.18
12.03,2.41,91.32
12.14,2.53,91.27
12.04,2.51,92.17
12.21,2.27,92.2
12.24,2.36,93.39
12.25,2.34,91.63
12.29,2.35,93.26
12.36,2.17,92.57
12.14,2.38,107.95
12.18,2.35,91.43
12.31,2.28,91.95
12.28,2.44,92.13
12.36,2.24,97.65
12.52,2.17,91.64
12.24,2.34,111.03
12.23,2.39,108.45
12.78,2.22,105.2
12.2,2.37,113.38
12.78,2.31,95.09
12.49,2.94,91.37
16.28,2.45,92.07
12.98,2.54,94.6
12.16,2.67,93.42
12.39,2.61,92.19
12.3,2.46,91.88
12.46,2.32,94.07
14.01,2.19,93.32
12.76,2.3,97.13
12.29,2.27,93.62
12.48,2.46,97.57
12.92,2.31,93.81
12.44,2.35,92.97
17.57,2.66,92.53
12.14,2.52,92.58
12.11,2.46,92.23
11.99,2.71,107.01
12.03,2.62,92.92
12.93,2.72,92.66
12.25,3.41,92.59
12.59,2.63,93.0
12.41,2.62,105.7
12.05,2.61,92.56
12.13,2.92,92.2
12.37,2.5,91.42
12.56,2.52,91.58
12.46,2.45,91.42
12.98,3.19,92.16
12.59,2.54,92.65
12.46,2.5,93.85
12.15,2.23,93.29
12.13,2.4,93.37
12.71,2.29,92.43
13.5,2.44,91.36
13.13,2.37,92.23
12.45,2.69,91.87
12.17,2.38,91.4
11.99,2.25,92.07
12.19,2.83,91.85
12.54,2.57,93.23
12.46,2.44,92.57
12.24,2.35,95.65
12.21,2.71,91.94
12.34,2.46,100.85
12.18,2.56,92.84
12.38,2.51,98.99
12.3,2.43,91.94
12.75,2.54,91.93
12.86,2.34,91.55
12.86,2.25,92.11
12.46,2.72,92.67
12.24,2.3,91.26
12.92,2.63,118.16
12.45,2.28,91.58
13.77,3.69,92.41
14.7,2.47,91.56
12.53,2.35,92.87
13.42,2.38,91.39
12.95,2.37,93.47
12.75,2.68,91.95
12.23,2.43,94.72
13.26,2.4,129.42
12.41,2.28,91.77
13.86,2.27,92.36
12.26,2.35,91.86
12.71,2.37,92.15
13.64,2.49,90.86
15.03,2.37,92.21
12.92,2.69,92.11
12.49,2.46,91.69
12.34,2.62,92.99
13.26,2.48,91.87
12.21,2.37,93.0
12.41,2.47,91.25
12.18,2.58,90.91
12.49,2.59,92.99
12.26,2.54,92.08
13.1,2.5,94.6
12.48,2.41,96.19
12.18,2.5,96.83
12.29,2.25,91.75
12.05,2.38,91.7
12.24,2.28,91.82
12.25,2.49,99.23
12.4,2.62,93.16
12.41,2.39,92.57
12.51,2.58,91.46
12.23,2.23,136.57
12.42,2.41,96.59
12.13,2.38,92.03
12.42,2.29,91.42
12.16,2.32,92.38
12.0,2.32,96.6
12.52,2.8,115.49
12.5,2.57,94.58
12.43,3.03,93.2
12.74,2.34,93.28
12.75,2.23,91.68
13.08,2.34,92.48
13.23,2.37,91.15
12.87,2.29,94.53
12.25,2.36,98.9
12.65,2.43,96.79
12.29,2.29,93.57
12.33,2.89,92.06
12.2,2.81,95.3
12.73,2.82,93.62
12.09,2.72,107.21
13.31,2.67,94.33
12.81,2.37,92.24
12.25,2.43,95.11
12.63,2.52,91.9
12.28,2.59,103.56
12.37,2.38,91.76
12.71,2.56,91.7
14.62,2.62,99.53
13.66,2.59,96.96
12.65,2.58,99.32
12.98,2.66,98.05
12.31,2.75,98.99
12.45,2.48,94.63
12.08,2.49,93.17
12.34,2.67,93.13
12.99,2.71,91.33
12.63,2.45,95.69
13.95,2.99,92.89
14.16,2.69,91.44
12.39,2.57,91.77
12.57,2.45,92.35
12.93,2.53,92.13
12.26,2.49,127.34
12.87,2.57,92.34
12.09,2.44,124.88
12.0,2.48,110.64
12.45,2.48,91.5
12.15,2.56,91.35
12.59,2.39,93.95
12.35,2.43,93.18
12.59,2.3,91.85
12.64,2.35,91.53
12.88,2.33,95.1
12.24,2.36,91.73
12.39,2.37,91.6
12.81,2.46,92.43
11.98,3.02,92.06
13.02,2.17,93.04
12.13,2.26,95.09
13.06,2.3,91.67
12.85,2.5,93.53
12.96,2.42,92.02
12.62,2.52,91.77
12.68,2.58,93.69
12.51,2.53,96.36
12.38,2.42,94.58
13.74,2.45,93.21
12.07,2.46,93.22
12.16,2.47,92.29
12.14,2.4,92.01
12.71,2.51,92.39
12.15,2.58,3655.72
12.05,2.51,103.45
11.97,2.63,92.08
12.27,2.56,91.73
11.84,2.49,92.03
11.93,2.42,92.11
12.11,2.49,92.69
12.3,2.37,91.6
12.04,2.4,94.72
12.12,2.4,92.05
12.18,2.68,91.33
14.22,2.42,91.39
12.14,2.31,90.89
12.62,2.24,92.25
12.14,2.65,99.84
12.21,2.8,99.71
12.24,2.63,92.58
12.14,2.56,93.92
11.92,2.44,94.28
13.57,2.84,94.5
12.3,2.39,91.28
17.99,2.38,92.63
17.95,2.32,93.61
18.03,2.43,93.14
12.23,2.49,91.48
12.06,2.4,92.3
12.08,2.5,93.76
12.26,2.46,91.5
11.92,2.29,91.73
12.03,2.34,93.45
13.04,2.54,95.28
12.82,2.37,118.32
13.37,2.36,92.51
12.34,2.68,93.27
13.32,2.61,92.08
12.66,2.68,91.26
12.65,2.72,96.36
12.04,2.78,92.28
12.2,2.89,91.46
13.62,2.58,92.86
12.39,2.57,92.13
12.48,2.46,92.29
12.32,2.54,91.31
12.26,2.62,92.92
12.29,3.1,92.94
12.17,2.53,90.74
12.15,2.62,92.13
12.15,2.43,105.85
12.03,2.31,91.25
12.33,2.73,92.51
12.1,2.42,91.33
12.41,2.38,91.35
12.35,2.47,117.52
12.16,2.37,92.86
12.37,2.3,100.89
13.14,2.21,92.25
12.1,2.37,96.37
12.1,2.52,92.77
12.02,2.35,91.98
12.28,2.31,93.29
12.07,2.34,93.24
12.13,2.61,100.4
15.77,2.33,91.76
12.77,2.42,93.87
12.22,3.08,92.65
12.92,2.42,93.53
12.34,2.38,95.03
12.17,2.39,93.97
12.2,2.33,92.86
12.22,2.46,91.73
12.23,2.59,91.56
12.3,2.7,92.08
12.66,2.43,92.91
12.57,2.28,92.14
12.45,2.31,91.65
12.15,2.32,91.97
12.07,2.26,91.74
13.96,2.37,94.14
13.06,2.27,99.23
12.61,2.97,97.66
12.68,2.35,94.59
12.57,2.5,94.13
12.51,2.51,92.51
12.47,2.41,93.96
13.41,3.0,91.81
12.39,2.34,91.49
12.05,3.08,91.64
12.37,3.57,100.52
12.48,3.46,91.98
12.35,3.92,92.64
13.01,3.91,92.11
12.51,3.32,93.56
12.32,2.42,93.38
12.05,2.35,91.4
12.21,2.26,110.49
12.21,2.23,111.87
12.39,2.4,93.01
12.74,2.38,92.73
12.38,2.37,92.41
14.82,2.26,91.58
16.82,2.31,91.7
19.03,2.28,97.36
18.76,2.29,98.64
16.65,3.11,91.5
13.23,2.21,91.37
12.27,2.44,91.55
12.85,2.69,91.8
